Date_Time,港外波高_HS,花蓮港17號碼頭
2023/1/1 00:00,2.61,0.5
2023/1/1 01:00,2.36,0.56
2023/1/1 02:00,2.42,0.47
2023/1/1 03:00,2.21,0.48
2023/1/1 04:00,2.29,0.5
2023/1/1 05:00,2.3,0.48
2023/1/1 06:00,2.2,0.43
2023/1/1 07:00,2.31,0.47
2023/1/1 08:00,2.12,0.42
2023/1/1 09:00,2.28,0.46
2023/1/1 10:00,2.27,0.47
2023/1/1 11:00,2.37,0.47
2023/1/1 12:00,2.35,0.54
2023/1/1 13:00,2.06,0.52
2023/1/1 14:00,1.98,0.51
2023/1/1 15:00,2.16,0.43
2023/1/1 16:00,2,0.46
2023/1/1 17:00,2.1,0.42
2023/1/1 18:00,2.08,0.46
2023/1/1 19:00,2.1,0.44
2023/1/1 20:00,2.07,0.47
2023/1/1 21:00,2.05,0.45
2023/1/1 22:00,2.19,0.4
2023/1/1 23:00,2.02,0.42
2023/1/2 00:00,1.99,0.43
2023/1/2 01:00,2.03,0.42
2023/1/2 02:00,2.08,0.42
2023/1/2 03:00,1.93,0.37
2023/1/2 04:00,1.9,0.38
2023/1/2 05:00,1.73,0.39
2023/1/2 06:00,1.79,0.33
2023/1/2 07:00,1.75,0.37
2023/1/2 08:00,1.71,0.28
2023/1/2 09:00,1.73,0.3
2023/1/2 10:00,2.04,0.36
2023/1/2 11:00,2.08,0.34
2023/1/2 12:00,2.09,0.41
2023/1/2 13:00,2.19,0.36
2023/1/2 14:00,2.16,0.49
2023/1/2 15:00,2.24,0.42
2023/1/2 16:00,1.99,0.44
2023/1/2 17:00,1.92,0.45
2023/1/2 18:00,1.89,0.46
2023/1/2 19:00,1.76,0.34
2023/1/2 20:00,1.73,0.38
2023/1/2 21:00,1.71,0.34
2023/1/2 22:00,1.98,0.37
2023/1/2 23:00,2.02,0.42
2023/1/3 00:00,1.84,0.45
2023/1/3 01:00,1.84,0.42
2023/1/3 02:00,1.86,0.49
2023/1/3 03:00,2.09,0.42
2023/1/3 04:00,1.94,0.46
2023/1/3 05:00,2.02,0.44
2023/1/3 06:00,1.92,0.45
2023/1/3 07:00,1.97,0.48
2023/1/3 08:00,1.79,0.37
2023/1/3 09:00,1.87,0.38
2023/1/3 10:00,1.8,0.3
2023/1/3 11:00,1.71,0.44
2023/1/3 12:00,1.99,0.41
2023/1/3 13:00,1.95,0.45
2023/1/3 14:00,1.97,0.48
2023/1/3 15:00,2,0.49
2023/1/3 16:00,2.25,0.67
2023/1/3 17:00,2.18,0.61
2023/1/3 18:00,2.38,0.51
2023/1/3 19:00,2.34,0.68
2023/1/3 20:00,2.27,0.64
2023/1/3 21:00,2.13,0.48
2023/1/3 22:00,2.3,0.43
2023/1/3 23:00,2.47,0.41
2023/1/4 00:00,2.2,0.39
2023/1/4 01:00,2.37,0.46
2023/1/4 02:00,2.29,0.46
2023/1/4 03:00,2.26,0.4
2023/1/4 04:00,2.34,0.34
2023/1/4 05:00,2.38,0.44
2023/1/4 06:00,2.21,0.44
2023/1/4 07:00,2.12,0.37
2023/1/4 08:00,2.05,0.32
2023/1/4 09:00,1.94,0.3
